"county","subcounty","pop12_total","pop12_0_1","pop12_2_4","pop12_5_9","pop12_10_14","pop12_15_19","pop12_20_24","pop12_25_29","pop12_30_34","pop12_35_39","pop12_40_44","pop12_45_49","pop12_50_54","pop12_55_59","pop12_60_64","pop12_65_69","pop12_70_74","pop12_75_79","pop12_80p"
"Makueni","Kibwezi East",137718.11866075,8137.015388093,13059.4347741178,19977.3691094902,17968.6066152271,14880.4440112523,13472.7496102596,11424.6727424001,8991.7211476208,7168.49209019064,5268.21528298097,4542.22698101478,3412.5490122595,2540.84842275115,2119.10041079163,1394.57176557934,1210.91197127885,779.820728557235,1369.36859688496
"Makueni","Kibwezi West",131909.432640959,7793.81169066178,12508.6128711142,19134.7620089361,17210.7252626789,14252.8154324059,12904.4948804514,10942.8019654478,8612.46760108706,6866.13884726081,5046.01206991731,4350.6445616504,3268.6142422225,2433.68031113906,2029.72082116029,1335.75140412588,1159.83802758018,746.929386386986,1311.61125673235
"Narok","Kilgoris",222695.24742949,13157.8522333197,21117.5848653262,32304.1383377256,29055.8957314715,24062.2235706662,21785.9301099168,18474.1147200615,14539.942785009,11591.7145488593,8518.89727629306,7344.94757301881,5518.21687691252,4108.64506201436,3426.66306291674,2255.07367813313,1958.08905670253,1260.99871088489,2214.31923025814
"Kilifi","Kilifi North",212928.690470815,12580.7994458271,20191.4488215736,30887.4030875663,27781.615907711,23006.9469998014,20830.4830145153,17663.9111088161,13902.2768221078,11083.3465360844,8145.29120955218,7022.82642468545,5276.209110421,3928.45569342962,3276.38280157995,2156.17482071378,1872.21480243269,1205.69615783615,2117.20770616127
"Kilifi","Kilifi South",201436.440437317,11901.7848304972,19101.6699952303,29220.3390654147,26282.1783465253,21765.209276038,19706.2140463832,16710.5492927868,13151.9390403777,10485.1528905078,7705.67115192234,6643.78836722177,4991.43999738177,3716.42792500355,3099.54890344272,2039.80111785211,1771.16707336247,1140.62196947927,2002.93714789008
"Makueni","Kilome",118696.176582336,7013.11217979582,11255.6357223603,17218.0491175005,15486.7415012646,12825.1229915077,11611.8625663795,9846.67076790243,7749.7640215826,6178.36353880463,4540.55731797248,3914.84418360152,2941.1999241206,2189.90061720742,1826.40540693583,1201.95031818368,1043.65803545893,672.110102864597,1180.2282688929
"Bungoma","Kimilili",157667.525695801,9315.71746161911,14951.1828061858,22871.2270254295,20571.4816087702,17035.9776282488,15424.3691100763,13079.6143651639,10294.233169016,8206.89697057559,6031.3521312802,5200.1994814457,3906.87996837958,2908.90761418329,2426.06653154706,1596.5849796842,1386.32081387395,892.783069893605,1567.7309604282
"Trans Nzoia","Kiminini",230154.82649231,13598.5982311095,21824.9564672666,33386.2237291655,30029.1753768693,24868.2311582752,22515.6891415434,19092.9385205719,15026.9843991683,11979.9999395398,8804.25310895702,7590.97984252447,5703.05950626477,4246.27154050876,3541.44532403152,2330.61143921555,2023.67878211927,1303.23813759263,2288.4918475865
"Kwale","Kinango",235710.560477614,13926.8563671499,22351.7916165483,34192.1376465053,30754.0531156271,25468.528267426,23059.1979667663,19553.8251725474,15389.7225141819,12269.1865441504,9016.77999339447,7774.2193832094,5840.72631952287,4348.77278051305,3626.93268244881,2386.8703383954,2072.52859837778,1334.6971537789,2343.73401707084
"Kericho","Kipkelion East",128954.464812279,7619.21869645657,12228.4013056823,18706.1148302332,16825.179373797,13933.5311308389,12615.4149681688,10697.6668972717,8419.53549473776,6712.32710692735,4932.97388128131,4253.18364125746,3195.39241314814,2379.16224612485,1984.25205059817,1305.82858248014,1133.85592766995,730.197055249782,1282.22921035567
"Kericho","Kipkelion West",108799.069766998,6428.34591057029,10317.1199906302,15782.3763252145,14195.4283412891,11755.7405074076,10643.6439813035,9025.63714094481,7103.57435883418,5663.20015571855,4161.95724785172,3588.41723232031,2695.95723263346,2007.30265198617,1674.11634488659,1101.72947680264,956.635897484188,616.068318948293,1081.81865217191
"Kirinyaga","Kirinyaga Central",115671.283648014,6834.387691012,10968.7933492679,16779.2586137288,15092.0722179592,12498.2832816211,11315.9419896371,9595.73492742266,7552.26645168162,6020.91206267187,4424.8442415745,3815.07698931677,2866.24540473278,2134.09245982113,1779.86068266819,1171.3194155753,1017.06110615415,654.981824938718,1150.15093823023
"Mombasa","Kisauni",199070.876543045,11762.0165124546,18877.3500024677,28877.1907307764,25973.5342301759,21509.6100751045,19474.7946053937,16514.3093673063,12997.4895670548,10362.020754883,7615.17979187573,6565.76720159472,4932.82314428112,3672.78414488131,3063.14942696967,2015.84676348896,1750.3674163075,1127.22710337582,1979.4157046534
"Kisumu","Kisumu Central",198301.38722229,11716.5515692441,18804.3814222148,28765.5687282685,25873.1360325115,21426.4667467894,19399.5166605081,16450.4748932815,12947.2490216161,10321.9673605805,7585.74404704336,6540.38786016655,4913.75579100167,3658.58735112623,3051.30911756399,2008.05470176843,1743.60153946185,1122.86991545775,1971.76446368579
"Kisumu","Kisumu East",206641.080185413,12209.2987156096,19595.2118325282,29975.3233067095,26961.2474851177,22327.5706495698,20215.3758677877,17142.3102436502,13491.7539445007,10756.064367003,7904.76741412784,6815.44809740222,5120.40696559373,3812.45160600891,3179.63389396878,2092.5047396652,1816.92982875334,1170.09293524403,2054.68829217269
"Kisumu","Kisumu West",150477.501386642,8890.89798969102,14269.3723486882,21828.2432050935,19633.3717970653,16259.0954342977,14720.9802012603,12483.1520002924,9824.79099059193,7832.64242157576,5756.30774119653,4963.05768246669,3728.71669841229,2776.25432133319,2315.43197151017,1523.77680460244,1323.10119836938,852.06998108846,1496.23859910677
"Kitui","Kitui Central",162528.109195709,9602.90293233621,15412.0987248643,23576.302520284,21205.6604203866,17561.1637209413,15899.872443195,13482.8334648987,10611.5843779268,8459.89965977608,6217.2869997451,5360.51152848392,4027.32148749788,2998.58358448763,2500.85744933991,1645.80459275421,1429.05839121436,920.305837434807,1616.0610601423
"Kitui","Kitui East",138076.81555488,8158.20883871213,13093.4490253879,20029.4016257789,18015.4071629502,14919.2012140228,13507.8403701944,11454.4291366132,9015.14074178821,7187.16295117358,5281.93673429028,4554.05754279102,3421.43724529425,2547.46624796224,2124.61976251595,1398.20402955317,1214.06587991038,781.851828575387,1372.93521736598
"Kitui","Kitui Rural",114054.621920109,6738.86793308015,10815.4897128786,16544.7459121496,14881.1402149584,12323.6029667782,11157.7864842006,9461.62162877983,7446.71337276423,5936.76172049686,4363.00109337307,3761.75615839725,2826.18577106679,2104.26564805943,1754.98473631466,1154.94865171247,1002.84630959096,645.827573205211,1134.07603230276
"Kitui","Kitui South",194341.423745748,11482.5788425016,18428.8688518087,28191.1370354724,25356.4645399541,20998.5926560574,19012.1195852064,16121.968468482,12688.6999818667,10115.8436701389,7434.26114624542,6409.78011499911,4815.6309430741,3585.52748760668,2990.37624749965,1967.95501618737,1708.78282986719,1100.44685570812,1932.3894730722
"Kitui","Kitui West",109113.734676361,6446.93775044204,10346.9588084959,15828.0215685657,14236.483868528,11789.7400538116,10674.42716057,9051.74077674777,7124.11907108735,5679.57906748241,4173.99431676207,3598.79552861992,2703.75438696639,2013.10810334163,1678.95816631995,1104.91586071845,959.402646764489,617.850090448348,1084.94745068886
"Kisii","Kitutu Chache North",121431.114013672,7174.70477328072,11514.9824034154,17614.7787206092,15843.5791875388,13120.6330065808,11879.4172466964,10073.5527891485,7928.33017524421,6320.72227514486,4645.17854946965,4005.0480486616,3008.96956925269,2240.35920265943,1868.48851909706,1229.64505116041,1067.70547749858,687.596524847435,1207.42249336631
"Kisii","Kitutu Chache South",134436.37322998,7943.1148808129,12748.2357771,19501.3196220922,17540.4248100277,14525.8513867186,13151.7015527974,11152.4292065821,8777.45348205928,6997.67094921612,5142.67667120379,4433.98826278784,3331.22988564662,2480.30143167452,2068.6034380034,1361.33990354059,1182.05661900237,761.238038511442,1336.73731220312
"Nyamira","Kitutu Masaba",229037.801635742,13532.5993013015,21719.0320370081,33224.1882752895,29883.4328963425,24747.5366120603,22406.4123350685,19000.2735643881,14954.0529931711,11921.8566543518,8761.5228750701,7554.13806388773,5675.38048982148,4225.66284448107,3524.2574052926,2319.300136523,2013.85713494468,1296.91305018993,2277.38496655008
"Bomet","Konoin",169517.627104029,10015.8755704206,16074.8957054932,24590.2009129557,22117.6093995479,18316.3811964037,16583.6461222938,14062.66243371,11067.9353403062,8823.71746622944,6484.66129604947,5591.0402137157,4200.51636313341,3127.5376082998,2608.40677120686,1716.58238455636,1490.51501719036,959.883570564873,1685.55973195175
"Migori","Kuria East",97489.8050079346,5760.1429009198,9244.69316037382,14141.856118826,12719.865564661,10533.7743442608,9537.27617831068,8087.45522206647,6365.18382542432,5074.53124447003,3729.33703765452,3215.41440579609,2415.72235389544,1798.65089428734,1500.09808331189,987.20873344786,857.197100205476,552.030273921085,969.367566101902
"Migori","Kuria West",152769.12461853,9026.29755572429,14486.6807494617,22160.6657186197,19932.3685940339,16506.705345968,14945.166142112,12673.2580351976,9974.41282159665,7951.92580397479,5843.97060393724,5038.64013287646,3785.50135879321,2818.53392354461,2350.69370598126,1546.98241536459,1343.25071850615,865.046162549897,1519.02483028794
"Trans Nzoia","Kwanza",191584.963722229,11319.7145959801,18167.4812418509,27791.2853684522,24996.8187192381,20700.7571246973,18742.4593831305,15893.3009989983,12508.7286017239,9972.36464161541,7328.81659788791,6318.86639055477,4747.32798466843,3534.67181827832,2947.96196225546,1940.04233948855,1684.54614646424,1084.83856331578,1904.98124362874
"Garissa","Lagdera",120215.246960819,7102.86579511902,11399.6850364085,17438.4052329439,15684.940389815,12989.2585601314,11760.4708617054,9972.68818751004,7848.94528676221,6257.43406415375,4598.66724469578,3964.94625097149,2978.84131924026,2217.9269046179,1849.77969271877,1217.33284504624,1057.01474207392,680.711749334924,1195.33279757061
